LHS,RHS,support,confidence,coverage,lift,count
"{Heating,Smoke alarm}",{RT5},0.401109719,0.667759237,0.60068015,1.26039556,6723
"{Essentials,Hangers,Wifi}",{RT5},0.402183641,0.66263639,0.606944693,1.250726187,6741
"{Hangers,Smoke alarm,Wifi}",{RT5},0.401825667,0.661916462,0.607064018,1.249367322,6735
{Heating},{RT5},0.412803532,0.658074948,0.627289541,1.242116464,6919
"{Hangers,Wifi}",{RT5},0.410238053,0.657487091,0.623948452,1.241006885,6876
"{Essentials,Hangers,Kitchen,Smoke alarm}",{RT5},0.400572758,0.655920281,0.610703419,1.238049531,6714
"{Essentials,Hangers,Kitchen}",{RT5},0.407970885,0.652107572,0.625618996,1.230853042,6838
"{Hangers,Kitchen,Smoke alarm}",{RT5},0.407732236,0.651105183,0.62621562,1.228961033,6834
"{Hangers,Kitchen}",{RT5},0.415905972,0.647020605,0.642801742,1.221251392,6971
"{Hangers,Kitchen,Long term stays allowed}",{RT5},0.402899588,0.645170536,0.624485413,1.217759387,6753
"{Essentials,Smoke alarm,Wifi}",{RT5},0.436310483,0.642392832,0.679195752,1.21251647,7313
"{Essentials,Kitchen,Smoke alarm,Wifi}",{RT5},0.407911222,0.639569691,0.637790108,1.207187792,6837
"{Essentials,Long term stays allowed,Smoke alarm,Wifi}",{RT5},0.419306724,0.638154908,0.657061035,1.204517389,7028
"{Essentials,Wifi}",{RT5},0.447169023,0.635870026,0.703239664,1.200204675,7495
"{Essentials,Smoke alarm,Wifi}",{CL5},0.417815166,0.61516163,0.679195752,1.214598196,7003
"{Essentials,Long term stays allowed,Smoke alarm,Wifi}",{CL5},0.401229044,0.610641969,0.657061035,1.205674406,6725
"{Essentials,Wifi}",{CL5},0.428017421,0.608636634,0.703239664,1.201714998,7174
